i,winDiff,avg
102,-14,-0.13592233009708737
103,-15,-0.14423076923076922
104,-16,-0.1523809523809524
105,-17,-0.16037735849056603
106,-16,-0.14953271028037382
107,-17,-0.1574074074074074
108,-18,-0.1651376146788991
109,-17,-0.15454545454545454
110,-18,-0.16216216216216217
111,-19,-0.16964285714285715
112,-18,-0.1592920353982301
113,-17,-0.14912280701754385
114,-18,-0.1565217391304348
115,-19,-0.16379310344827586
116,-18,-0.15384615384615385
117,-19,-0.16101694915254236
118,-18,-0.15126050420168066
119,-19,-0.15833333333333333
120,-20,-0.1652892561983471
121,-19,-0.1557377049180328
122,-18,-0.14634146341463414
123,-19,-0.1532258064516129
124,-18,-0.144
125,-17,-0.1349206349206349
126,-18,-0.14173228346456693
127,-17,-0.1328125
128,-18,-0.13953488372093023
129,-19,-0.14615384615384616
130,-20,-0.15267175572519084
131,-19,-0.14393939393939395
132,-20,-0.15037593984962405
133,-21,-0.15671641791044777
134,-22,-0.16296296296296298
135,-21,-0.15441176470588236
136,-22,-0.16058394160583941
137,-23,-0.16666666666666666
138,-24,-0.17266187050359713
139,-25,-0.17857142857142858
140,-24,-0.1702127659574468
141,-23,-0.1619718309859155
142,-22,-0.15384615384615385
143,-23,-0.1597222222222222
144,-22,-0.15172413793103448
145,-21,-0.14383561643835616
146,-22,-0.14965986394557823
147,-23,-0.1554054054054054
148,-22,-0.1476510067114094
149,-21,-0.14
150,-22,-0.1456953642384106
151,-21,-0.13815789473684212
152,-22,-0.1437908496732026
153,-21,-0.13636363636363635
154,-22,-0.14193548387096774
155,-21,-0.1346153846153846
156,-20,-0.12738853503184713
157,-19,-0.12025316455696203
158,-20,-0.12578616352201258
159,-19,-0.11875
160,-20,-0.12422360248447205
161,-21,-0.12962962962962962
162,-20,-0.12269938650306748
163,-19,-0.11585365853658537
164,-18,-0.10909090909090909
165,-17,-0.10240963855421686
166,-18,-0.10778443113772455
167,-19,-0.1130952380952381
168,-18,-0.10650887573964497
169,-19,-0.11176470588235295
170,-20,-0.11695906432748537
171,-19,-0.11046511627906977
172,-18,-0.10404624277456648
173,-18,-0.10344827586206896
174,-19,-0.10857142857142857
175,-18,-0.10227272727272728
176,-19,-0.10734463276836158
177,-19,-0.10674157303370786
178,-20,-0.11173184357541899
179,-19,-0.10555555555555556
180,-20,-0.11049723756906077
181,-21,-0.11538461538461539
182,-22,-0.12021857923497267
183,-21,-0.11413043478260869
184,-22,-0.11891891891891893
185,-21,-0.11290322580645161
186,-22,-0.11764705882352941
187,-21,-0.11170212765957446
188,-20,-0.10582010582010581
189,-19,-0.1
190,-20,-0.10471204188481675
191,-21,-0.109375
192,-20,-0.10362694300518134
193,-19,-0.0979381443298969
194,-18,-0.09230769230769231
195,-19,-0.09693877551020408
196,-20,-0.10152284263959391
197,-20,-0.10101010101010101
198,-19,-0.09547738693467336
199,-18,-0.09
200,-17,-0.0845771144278607
201,-16,-0.07920792079207921
202,-17,-0.08374384236453201
203,-16,-0.0784313725490196
204,-16,-0.07804878048780488
205,-15,-0.07281553398058252
206,-16,-0.07729468599033816
207,-15,-0.07211538461538461
208,-14,-0.06698564593301436
209,-13,-0.06190476190476191
210,-14,-0.06635071090047394
211,-13,-0.06132075471698113
212,-14,-0.06572769953051644
213,-13,-0.06074766355140187
214,-14,-0.06511627906976744
215,-13,-0.06018518518518518
216,-14,-0.06451612903225806
217,-15,-0.06880733944954129
218,-16,-0.0730593607305936
219,-17,-0.07727272727272727
220,-18,-0.08144796380090498
221,-19,-0.08558558558558559
222,-20,-0.08968609865470852
223,-19,-0.08482142857142858
224,-20,-0.08888888888888889
225,-21,-0.09292035398230089
226,-21,-0.09251101321585903
227,-20,-0.08771929824561403
228,-19,-0.08296943231441048
229,-20,-0.08695652173913043
230,-21,-0.09090909090909091
231,-20,-0.08620689655172414
232,-21,-0.09012875536480687
233,-22,-0.09401709401709402
234,-23,-0.09787234042553192
235,-22,-0.09322033898305085
236,-21,-0.08860759493670886
237,-22,-0.09243697478991597
238,-23,-0.09623430962343096
239,-24,-0.1
240,-25,-0.1037344398340249
241,-26,-0.10743801652892562
242,-26,-0.10699588477366255
243,-27,-0.11065573770491803
244,-26,-0.10612244897959183
245,-25,-0.1016260162601626
246,-26,-0.10526315789473684
247,-25,-0.10080645161290322
248,-24,-0.0963855421686747
249,-25,-0.1
250,-26,-0.10358565737051793
251,-27,-0.10714285714285714
252,-27,-0.1067193675889328
253,-28,-0.11023622047244094
254,-29,-0.11372549019607843
255,-28,-0.109375
256,-27,-0.10505836575875487
257,-28,-0.10852713178294573
258,-29,-0.11196911196911197
259,-30,-0.11538461538461539
260,-31,-0.11877394636015326
261,-32,-0.12213740458015267
262,-31,-0.11787072243346007
263,-30,-0.11363636363636363
264,-31,-0.1169811320754717
265,-30,-0.11278195488721804
266,-31,-0.11610486891385768
267,-31,-0.11567164179104478
268,-30,-0.11152416356877323
269,-29,-0.10740740740740741
270,-28,-0.1033210332103321
271,-27,-0.09926470588235294
272,-28,-0.10256410256410256
273,-27,-0.09854014598540146
274,-28,-0.10181818181818182
275,-27,-0.09782608695652174
276,-28,-0.10108303249097472
277,-28,-0.10071942446043165
278,-29,-0.1039426523297491
