policy1,32141,3630,54936,-22795,0.3,0.9,0.1
policy2,32033,3818,54929,-22896,0.4,0.9,0.1
policy3,32145,3648,55026,-22881,0.5,0.9,0.1
policy4,32304,3747,54839,-22535,0.7,0.9,0.1
policy5,32002,3819,55018,-23016,0.9,0.9,0.1
policy6,32282,3756,54711,-22429,2.0,0.9,0.1
policy7,32244,3893,54547,-22303,3.0,0.9,0.1
policy8,32242,3729,54757,-22515,0.1,0.9,0.1
policy9,32252,3775,54727,-22475,0.3,0.99,0.1
policy10,32194,3725,54783,-22589,0.3,0.8,0.1
policy11,32039,3789,54903,-22864,0.3,0.9,0.05
policy12,32282,3656,54927,-22645,0.3,0.9,0.2
policy13,32097,3708,54837,-22740,0.3,0.9,0.3
policy14,32038,3691,55040,-23002,0.9,0.9,0.1
policy15,32405,3725,54566,-22161,0.9,0.9,0.1
policy15,32379,3697,54509,-22130,0.9,0.9,0.1
policy15,32266,3766,54752,-22486,0.9,0.9,0.1
