i,winDiff,avg
279,-72,-0.25806451612903225
280,-71,-0.25357142857142856
281,-70,-0.2491103202846975
282,-71,-0.25177304964539005
283,-72,-0.254416961130742
284,-73,-0.25704225352112675
285,-73,-0.256140350877193
286,-72,-0.2517482517482518
287,-71,-0.24738675958188153
288,-72,-0.25
289,-72,-0.2491349480968858
290,-73,-0.2517241379310345
291,-72,-0.24742268041237114
292,-73,-0.25
293,-72,-0.24573378839590443
294,-71,-0.24149659863945577
295,-72,-0.2440677966101695
296,-73,-0.24662162162162163
297,-74,-0.24915824915824916
298,-75,-0.2516778523489933
299,-76,-0.25418060200668896
300,-76,-0.25333333333333335
301,-77,-0.2558139534883721
302,-78,-0.2582781456953642
303,-79,-0.2607260726072607
304,-80,-0.2631578947368421
305,-81,-0.26557377049180325
306,-80,-0.26143790849673204
307,-79,-0.25732899022801303
308,-80,-0.2597402597402597
309,-81,-0.2621359223300971
310,-82,-0.2645161290322581
311,-83,-0.26688102893890675
312,-84,-0.2692307692307692
313,-85,-0.2715654952076677
314,-85,-0.27070063694267515
315,-84,-0.26666666666666666
316,-83,-0.2626582278481013
317,-84,-0.26498422712933756
318,-85,-0.2672955974842767
319,-86,-0.26959247648902823
320,-85,-0.265625
321,-86,-0.26791277258566976
322,-87,-0.2701863354037267
323,-88,-0.2724458204334365
324,-89,-0.27469135802469136
325,-88,-0.27076923076923076
326,-89,-0.27300613496932513
327,-90,-0.27522935779816515
328,-89,-0.27134146341463417
329,-90,-0.2735562310030395
330,-89,-0.2696969696969697
331,-88,-0.26586102719033233
332,-89,-0.2680722891566265
333,-90,-0.2702702702702703
334,-91,-0.27245508982035926
335,-92,-0.2746268656716418
336,-91,-0.2708333333333333
337,-92,-0.27299703264094954
338,-93,-0.27514792899408286
339,-94,-0.27728613569321536
340,-93,-0.2735294117647059
341,-94,-0.2756598240469208
342,-95,-0.2777777777777778
343,-96,-0.27988338192419826
344,-97,-0.2819767441860465
345,-98,-0.28405797101449276
346,-99,-0.2861271676300578
347,-100,-0.2881844380403458
348,-99,-0.28448275862068967
349,-100,-0.28653295128939826
350,-101,-0.2885714285714286
351,-100,-0.2849002849002849
352,-101,-0.2869318181818182
353,-102,-0.28895184135977336
354,-103,-0.2909604519774011
355,-104,-0.29295774647887324
356,-105,-0.2949438202247191
357,-104,-0.2913165266106443
358,-105,-0.29329608938547486
359,-106,-0.29526462395543174
360,-107,-0.2972222222222222
361,-108,-0.29916897506925205
362,-109,-0.3011049723756906
363,-108,-0.2975206611570248
364,-109,-0.29945054945054944
365,-108,-0.2958904109589041
366,-109,-0.2978142076502732
367,-108,-0.29427792915531337
368,-107,-0.2907608695652174
369,-108,-0.2926829268292683
370,-107,-0.2891891891891892
371,-108,-0.29110512129380056
372,-109,-0.29301075268817206
373,-108,-0.289544235924933
374,-109,-0.2914438502673797
375,-110,-0.29333333333333333
376,-111,-0.29521276595744683
377,-110,-0.2917771883289125
378,-109,-0.28835978835978837
379,-110,-0.29023746701846964
380,-111,-0.29210526315789476
381,-112,-0.29396325459317585
382,-113,-0.29581151832460734
383,-114,-0.29765013054830286
384,-113,-0.2942708333333333
385,-112,-0.2909090909090909
386,-113,-0.2927461139896373
387,-114,-0.29457364341085274
388,-115,-0.2963917525773196
389,-116,-0.2982005141388175
390,-115,-0.2948717948717949
391,-116,-0.2966751918158568
392,-117,-0.29846938775510207
393,-116,-0.2951653944020356
394,-117,-0.2969543147208122
395,-118,-0.29873417721518986
396,-117,-0.29545454545454547
397,-116,-0.29219143576826195
398,-115,-0.2889447236180904
399,-114,-0.2857142857142857
400,-113,-0.2825
401,-112,-0.2793017456359102
402,-113,-0.2810945273631841
403,-114,-0.28287841191067
404,-115,-0.28465346534653463
405,-116,-0.28641975308641976
406,-115,-0.2832512315270936
407,-116,-0.28501228501228504
408,-117,-0.2867647058823529
409,-118,-0.2885085574572127
410,-119,-0.29024390243902437
411,-120,-0.291970802919708
412,-121,-0.2936893203883495
413,-120,-0.29055690072639223
414,-121,-0.2922705314009662
415,-120,-0.2891566265060241
416,-121,-0.29086538461538464
417,-122,-0.29256594724220625
418,-123,-0.2942583732057416
419,-124,-0.29594272076372313
420,-125,-0.2976190476190476
421,-126,-0.2992874109263658
422,-127,-0.3009478672985782
423,-128,-0.30260047281323876
424,-129,-0.30424528301886794
425,-130,-0.3058823529411765
426,-131,-0.3075117370892019
427,-132,-0.3091334894613583
428,-132,-0.308411214953271
429,-131,-0.30536130536130535
430,-130,-0.3023255813953488
431,-131,-0.3039443155452436
432,-132,-0.3055555555555556
433,-131,-0.302540415704388
434,-130,-0.2995391705069124
435,-131,-0.30114942528735633
436,-130,-0.2981651376146789
437,-131,-0.2997711670480549
438,-130,-0.2968036529680365
439,-131,-0.2984054669703872
440,-132,-0.3
441,-133,-0.30158730158730157
442,-132,-0.2986425339366516
443,-133,-0.3002257336343115
444,-132,-0.2972972972972973
445,-133,-0.298876404494382
446,-132,-0.29596412556053814
447,-131,-0.2930648769574944
448,-132,-0.29464285714285715
449,-133,-0.2962138084632517
450,-132,-0.29333333333333333
451,-131,-0.29046563192904656
452,-130,-0.28761061946902655
453,-131,-0.2891832229580574
454,-132,-0.2907488986784141
455,-133,-0.2923076923076923
456,-132,-0.2894736842105263
457,-131,-0.28665207877461707
458,-132,-0.28820960698689957
459,-131,-0.28540305010893247
460,-132,-0.28695652173913044
461,-133,-0.2885032537960954
462,-134,-0.29004329004329005
463,-135,-0.2915766738660907
464,-135,-0.29094827586206895
465,-135,-0.2903225806451613
466,-136,-0.2918454935622318
467,-135,-0.2890792291220557
468,-136,-0.2905982905982906
469,-135,-0.2878464818763326
470,-136,-0.28936170212765955
471,-137,-0.2908704883227176
472,-138,-0.2923728813559322
473,-137,-0.28964059196617337
474,-136,-0.2869198312236287
475,-135,-0.28421052631578947
476,-134,-0.2815126050420168
477,-133,-0.27882599580712786
478,-134,-0.2803347280334728
479,-135,-0.2818371607515658
480,-136,-0.2833333333333333
481,-137,-0.28482328482328484
482,-138,-0.2863070539419087
483,-139,-0.28778467908902694
484,-138,-0.28512396694214875
485,-139,-0.2865979381443299
486,-138,-0.2839506172839506
487,-139,-0.28542094455852157
488,-138,-0.2827868852459016
489,-139,-0.2842535787321063
490,-138,-0.2816326530612245
491,-138,-0.28105906313645623
492,-139,-0.28252032520325204
493,-140,-0.2839756592292089
494,-139,-0.2813765182186235
495,-140,-0.2828282828282828
496,-141,-0.2842741935483871
497,-140,-0.28169014084507044
498,-141,-0.28313253012048195
499,-140,-0.280561122244489
500,-139,-0.278
501,-138,-0.2754491017964072
502,-139,-0.27689243027888444
503,-138,-0.27435387673956263
504,-139,-0.2757936507936508
505,-140,-0.27722772277227725
506,-141,-0.27865612648221344
507,-140,-0.27613412228796846
508,-139,-0.2736220472440945
509,-140,-0.275049115913556
510,-141,-0.27647058823529413
511,-142,-0.27788649706457924
512,-143,-0.279296875
513,-144,-0.2807017543859649
514,-145,-0.2821011673151751
515,-144,-0.2796116504854369
516,-145,-0.2810077519379845
517,-144,-0.27852998065764023
518,-145,-0.2799227799227799
519,-144,-0.2774566473988439
520,-143,-0.275
521,-144,-0.2763915547024952
522,-143,-0.2739463601532567
523,-144,-0.27533460803059273
524,-145,-0.2767175572519084
525,-146,-0.2780952380952381
526,-145,-0.27566539923954375
527,-144,-0.2732447817836812
528,-145,-0.2746212121212121
529,-144,-0.2722117202268431
530,-145,-0.27358490566037735
531,-144,-0.2711864406779661
532,-143,-0.26879699248120303
533,-144,-0.2701688555347092
534,-145,-0.27153558052434457
535,-146,-0.27289719626168224
536,-147,-0.27425373134328357
537,-148,-0.2756052141527002
538,-149,-0.27695167286245354
539,-150,-0.2782931354359926
540,-151,-0.2796296296296296
541,-150,-0.27726432532347506
542,-149,-0.27490774907749077
543,-148,-0.27255985267034993
544,-149,-0.27389705882352944
545,-150,-0.27522935779816515
546,-151,-0.2765567765567766
547,-152,-0.27787934186471663
548,-151,-0.2755474452554745
549,-152,-0.2768670309653916
550,-153,-0.2781818181818182
551,-154,-0.279491833030853
552,-153,-0.27717391304347827
553,-154,-0.27848101265822783
554,-155,-0.27978339350180503
555,-156,-0.2810810810810811
556,-157,-0.2823741007194245
557,-158,-0.2836624775583483
558,-159,-0.2849462365591398
