i,winDiff,avg
277,-67,-0.24187725631768953
278,-68,-0.2446043165467626
279,-69,-0.24731182795698925
280,-68,-0.24285714285714285
281,-67,-0.23843416370106763
282,-66,-0.23404255319148937
283,-65,-0.22968197879858657
284,-66,-0.2323943661971831
285,-67,-0.23508771929824562
286,-66,-0.23076923076923078
287,-65,-0.2264808362369338
288,-64,-0.2222222222222222
289,-63,-0.2179930795847751
290,-62,-0.21379310344827587
291,-63,-0.21649484536082475
292,-64,-0.2191780821917808
293,-65,-0.22184300341296928
294,-66,-0.22448979591836735
295,-67,-0.2271186440677966
296,-66,-0.22297297297297297
297,-67,-0.2255892255892256
298,-68,-0.22818791946308725
299,-69,-0.23076923076923078
300,-70,-0.23333333333333334
301,-71,-0.23588039867109634
302,-72,-0.23841059602649006
303,-73,-0.24092409240924093
304,-72,-0.23684210526315788
305,-73,-0.23934426229508196
306,-74,-0.24183006535947713
307,-74,-0.24104234527687296
308,-75,-0.2435064935064935
309,-75,-0.24271844660194175
310,-76,-0.24516129032258063
311,-77,-0.24758842443729903
312,-76,-0.24358974358974358
313,-75,-0.23961661341853036
314,-76,-0.24203821656050956
315,-75,-0.23809523809523808
316,-76,-0.24050632911392406
317,-75,-0.23659305993690852
318,-76,-0.2389937106918239
319,-77,-0.2413793103448276
320,-78,-0.24375
321,-79,-0.24610591900311526
322,-78,-0.2422360248447205
323,-79,-0.24458204334365324
324,-80,-0.24691358024691357
325,-79,-0.24307692307692308
326,-80,-0.24539877300613497
327,-81,-0.24770642201834864
328,-80,-0.24390243902439024
329,-81,-0.24620060790273557
330,-80,-0.24242424242424243
331,-81,-0.24471299093655588
332,-82,-0.2469879518072289
333,-83,-0.24924924924924924
334,-84,-0.25149700598802394
335,-85,-0.2537313432835821
336,-86,-0.25595238095238093
337,-87,-0.258160237388724
338,-88,-0.2603550295857988
339,-87,-0.25663716814159293
340,-88,-0.25882352941176473
341,-87,-0.25513196480938416
342,-88,-0.2573099415204678
343,-87,-0.2536443148688047
