i,winDiff,avg
311,-5,-0.01607717041800643
312,-4,-0.01282051282051282
313,-5,-0.01597444089456869
314,-6,-0.01910828025477707
315,-5,-0.015873015873015872
316,-6,-0.0189873417721519
317,-7,-0.022082018927444796
318,-6,-0.018867924528301886
319,-7,-0.0219435736677116
320,-8,-0.025
321,-9,-0.028037383177570093
322,-8,-0.024844720496894408
323,-7,-0.021671826625386997
324,-7,-0.021604938271604937
325,-8,-0.024615384615384615
326,-9,-0.027607361963190184
327,-10,-0.03058103975535168
328,-9,-0.027439024390243903
329,-8,-0.0243161094224924
330,-9,-0.02727272727272727
331,-8,-0.02416918429003021
332,-8,-0.024096385542168676
333,-7,-0.021021021021021023
334,-6,-0.017964071856287425
335,-5,-0.014925373134328358
336,-4,-0.011904761904761904
337,-5,-0.01483679525222552
338,-6,-0.01775147928994083
339,-5,-0.014749262536873156
340,-6,-0.01764705882352941
341,-5,-0.01466275659824047
342,-6,-0.017543859649122806
343,-7,-0.02040816326530612
344,-8,-0.023255813953488372
345,-7,-0.020289855072463767
346,-8,-0.023121387283236993
347,-7,-0.020172910662824207
348,-7,-0.020114942528735632
349,-6,-0.017191977077363897
350,-7,-0.02
351,-8,-0.022792022792022793
352,-7,-0.019886363636363636
353,-7,-0.019830028328611898
354,-8,-0.022598870056497175
355,-9,-0.02535211267605634
356,-10,-0.028089887640449437
357,-11,-0.03081232492997199
358,-12,-0.0335195530726257
359,-11,-0.03064066852367688
360,-11,-0.030555555555555555
361,-10,-0.027700831024930747
362,-9,-0.024861878453038673
363,-8,-0.02203856749311295
364,-9,-0.024725274725274724
365,-8,-0.021917808219178082
366,-8,-0.02185792349726776
367,-9,-0.02452316076294278
368,-10,-0.02717391304347826
369,-11,-0.02981029810298103
370,-12,-0.032432432432432434
371,-13,-0.03504043126684636
372,-12,-0.03225806451612903
373,-13,-0.03485254691689008
374,-14,-0.0374331550802139
375,-14,-0.037333333333333336
376,-13,-0.034574468085106384
377,-12,-0.03183023872679045
378,-11,-0.0291005291005291
379,-12,-0.0316622691292876
380,-11,-0.02894736842105263
381,-10,-0.026246719160104987
382,-11,-0.028795811518324606
383,-11,-0.028720626631853787
384,-12,-0.03125
385,-13,-0.033766233766233764
386,-14,-0.03626943005181347
387,-15,-0.03875968992248062
388,-14,-0.03608247422680412
389,-15,-0.038560411311053984
390,-16,-0.041025641025641026
391,-16,-0.04092071611253197
392,-17,-0.04336734693877551
393,-16,-0.04071246819338423
394,-17,-0.04314720812182741
395,-18,-0.04556962025316456
396,-19,-0.047979797979797977
397,-18,-0.04534005037783375
398,-17,-0.04271356783919598
399,-18,-0.045112781954887216
400,-19,-0.0475
401,-20,-0.04987531172069826
402,-21,-0.05223880597014925
403,-20,-0.04962779156327544
404,-21,-0.05198019801980198
405,-20,-0.04938271604938271
406,-21,-0.05172413793103448
407,-20,-0.04914004914004914
408,-19,-0.04656862745098039
409,-20,-0.0488997555012225
410,-19,-0.046341463414634146
411,-20,-0.04866180048661801
412,-21,-0.050970873786407765
413,-21,-0.05084745762711865
414,-20,-0.04830917874396135
415,-21,-0.05060240963855422
416,-20,-0.04807692307692308
417,-21,-0.050359712230215826
418,-22,-0.05263157894736842
419,-23,-0.05489260143198091
420,-24,-0.05714285714285714
421,-23,-0.05463182897862233
422,-23,-0.054502369668246446
423,-24,-0.05673758865248227
424,-25,-0.0589622641509434
425,-26,-0.0611764705882353
426,-27,-0.06338028169014084
427,-28,-0.06557377049180328
428,-27,-0.0630841121495327
429,-28,-0.06526806526806526
430,-29,-0.06744186046511629
431,-28,-0.06496519721577726
432,-27,-0.0625
433,-26,-0.06004618937644342
434,-27,-0.06221198156682028
435,-28,-0.06436781609195402
436,-29,-0.06651376146788991
437,-28,-0.06407322654462243
438,-29,-0.06621004566210045
439,-29,-0.06605922551252848
440,-28,-0.06363636363636363
441,-29,-0.06575963718820861
442,-28,-0.06334841628959276
443,-29,-0.0654627539503386
444,-30,-0.06756756756756757
445,-29,-0.0651685393258427
446,-30,-0.06726457399103139
447,-29,-0.06487695749440715
448,-30,-0.06696428571428571
449,-29,-0.0645879732739421
450,-30,-0.06666666666666667
451,-31,-0.06873614190687362
452,-30,-0.06637168141592921
453,-29,-0.0640176600441501
454,-28,-0.06167400881057269
455,-27,-0.05934065934065934
456,-28,-0.06140350877192982
457,-29,-0.06345733041575492
458,-29,-0.06331877729257641
459,-30,-0.06535947712418301
460,-29,-0.06304347826086956
461,-30,-0.0650759219088937
462,-29,-0.06277056277056277
463,-28,-0.06047516198704104
464,-27,-0.05818965517241379
